bangla_text,reaction
এই নাটক দেখে চোখের পানি ধরে রাখা অসম্ভবএরকম নাটকই আমাদের দেশের গর্ব          ,Positive
নিজের অজান্তেই চোখে জল চলে আসলো সত্যিই নাটকটা শেষ নিশ্বাস পর্যন্ত হৃদয়ে থেকে যাবে,Positive
পুরো নাটকটি জুড়ে কান্না ছিলো চোখে সত্যি জীবন্ত বাস্তব চিত্র ছিলো এটা তবে বাস্তব জীবনে এই রকম টা খুব কম ই হয়,Positive
আমার দেখা সব নাটক থেকে সেরা নাটক মনে হয় এটাই আমার চোখে কোনোদিন এতো পানি মনে হয় আর আসেনি,Positive
এমন নাটক দেখলে প্রানটা জুরিয়ে যায়আর কান্না তো করতেই হবে,Positive
সেই বড় ছেলে নাটক দেখে কান্না করছি আজ নতুন করে আরেকটা নাটক দেখে কান্না করলাম সত্যি বলতে নাটকটি অসাধারণ,Positive
নিজের অজান্তেই কান্না চলে আসছেসত্যিই নাটক টা অসাধারণ,Positive
রাত ২টা বেজে ১৭মিনিট চোখ বেয়ে বেয়ে পানি পড়ছে শেষ টা দেখে নাটক নাকি বাস্তব এটাই ভাবার বিষয় বেস্ট ছিলো  ,Positive
নাটক তা সত্যি বাস্তব জীবনের সাথে মিলে গেছে নাটকটা দেখে অনেক কান্না করছি আর সবচেয়ে বেশি কান্না করছি এটা ভেবে যে এমন একটা বড় ভাই আমার কপাঁলে জুটলো না তাই সব সময় ভাই বন্ধুদের থেকে ঠিক মতো কোনো সাপোর্ট পাইনা দোয়া করবেন সবাই আমার জন্য,Positive
শেষের দিকে শুধুই কান্না করেছি  তাওসিফের অভিনয় টা নাটকে চরম মাত্রা দিয়ে নষ্টামি ছাড়া বাংলায় ভালো নাটক বানানো সম্ভব  ধন্যবাদ রাফি ভাই,Positive
আসলে এটাই প্রকৃত পরিবার মূল পরিবার প্রেমভালবাসাবিয়েবউ অথবা বাইরের কেউ ইত্যাদি এসব ছাড়াও যে এত সুন্দর একটা নাটক তৈরি করা যায় তা অবশ্যই শিক্ষনীয় অনেক দিন পর নাটক/টেলিফিল্মে ভিন্নতা দেখেছি খুবই ভাল লাগল সাথে চোখের জ্বলও টলমল করছিল,Positive
নাটকটি দেখে নিজের অজান্তেই চোখের জল গড়িয়ে পড়ল সত্যি অসাধারণ,Positive
এইসব নাটকের টাইমটা আরো বেশি দেওয়া দরকার টাইমটা আরও দেড় ঘন্টা করা উচিত ছিল অনেক চমৎকার হয়েছে নাটকটি চোখে জল এসে গেছিল,Positive
বাস্তবতা কে তুলে ধরে এত সুন্দর একটা নাটক সত্যি অসাধারণ  চোখে কখন যে পানি চলে আসছে বুঝতেই পারি নি  পরিবার এর সম্পর্কটা কি জিনিস নাটক টা সেটা বুঝিয়ে দিবে সবাইকে আরও ভালোভাবে এটা আশা করি  অসাধারণ নাটকটি আমাদের মাঝে উপস্থাপন করার জন্য অনেক অনেক ধন্যবাদ জানাতে চাই ইমরাউল রাফাত ভাইকে ,Positive
নাটক টা দেখে আসলেই চোখের পানি চলে আসছে আসুন আমরা সকলেই পরিবার কে সম্মান করি পরিবারের বড় ভাই ভালোবাসি,Positive
আমার লাইফে ১ম কোন বাংলা ছায়াছবি মরনের পরে দেখে খুব কেঁদেছিলাম আর আজ ২য়  কোন নাটক দেখে কাঁদলাম  ধন্যবাদ নাট্যকারকে এবং সকল অভিনয় কুশলিদেরকে ধন্যবাদ আমাদেরকে এমন সুন্দর একটা বাস্তব ধর্মী নাটক উপহার দেওয়ার জন্যে,Positive
আমার জিবনে এই প্রথম এই নাটক টা দেখে কান্না করলাম,Positive
চোখের পানি আর আটকাতে পারলাম না অনেক সুন্দর নাটক একেবারে বাস্তব জীবনের অংশ,Positive
জীবনে অনেক নাটক দেখেছি কখনো কান্না করিনি এই নাটক দেখে চোখের পানি দরে রাখতে পারিনি,Positive
কিছু গল্প নিজের সাথে মিলে যায় অঝোরে কান্না করা ছাড়া আর কি উপায়,Positive
শেষ দৃশ্যটা দেখে চোখে পানি আটকাতে পারলাম না সত্যিই খুবই অসাধারণ ছিল ,Positive
সত্যিই বর্তমান যুগের বাস্তবমুখী একটা নাটক পরিবারের বড় ছেলের উপর যখন দায়িত্ব পড়ে তখন মনে হয় পুরো পৃথিবীটা মাথায় নিয়ে জীবনকে অতিবাহিত করতে হয়,Positive
আমার দেখা ইদের সেরা নাটক চোখের কোনায় কখন যানি পানি জমে গেচে বুঝতে পারি নি সত্যিই অসাধারন একটি নাটকঅপূর্ব ও তৌসিফ ভাই আপনাদের প্রতি ভালোবাসা অভিরাম,Positive
আসল বাংলা নাটক এর ফিল পেলাম অনেক দিন পর আসলে খুব কস্ট লাগছে পুরো নাটক দেখে বাস্তবের সাথে অনেক মিল আছে ধন্যবাদ জানাই পরিচালক কে,Positive
এমন একটি নাটক উপহার দেওয়ার জন্য ধন্যবাদ পরিচালক কে,Positive
এই নাটকে বাস্তবতা তুলে ধরা হয়েছে,Positive
এক কথায় অসাধারণ নাটকের প্রতিটা মুহুর্তে চোখে জল ঝরেছে অনবরত ছোট ভাই গুলো একটু বদ মেজাজে হয় তবে বড় ভাইয়েরা সব সময়ই ছাড় দিতে জানে দিন শেষে সবাই একসাথে থাকাটাই আনন্দ,Positive
সত্যি নাটকটা অসাধারণ হয়েছে বাস্তবতা তুলে ধরেছে   সত্যি দেখতে দেখতে চোখের জল আসলো,Positive
এই বইটা সমাজের সব ধরনের মানুষ এর দেখা উচিত,Positive
আপনাদের নাটক গুলি কেনো যে নিজের অজান্তেই চোখে জল এনে দেয়  বুঝতেই পারিনি  ভালোবাসা নিবেন ইন্ডিয়ার কলকাতা থেকে ,Positive
নাটক টা দেখে সত্যি চোখে জল চলে আসল এরকম আরো নাটক দেখতে চাই,Positive
বড় ছেলের পর এবার এই নাটকে কান্না করছি সত্যি অসাধারণ,Positive
অসাধারণ নাটক জাতীয় পুরস্কার প্রাপ্ত নাটক এটা বাস্তবতা তুলে ধরার জন্য নাটকের  পুরো টিমকে ধন্যবাদ,Positive
চোখের পানি আর ধরে রাখা গেলো না  নাটক টি দেখে,Positive
মন ছুয়ে যাবার মত ১টা নাটক নাটকটা দেখে চোঁখে পানি চলে এসেছে,Positive
এর আগে জীবনের প্রথম কোন নাটক দেখায় কেঁদেছিলাম সেটা ছিলো বড় ছেলে আর আজ কাছের মানুষ নাটক দেখে শেষে চোখের পানি ধরে রাখতে পানিনি সত্যি অপূর্ব ভাই আপনি জাত অভিনেতা ধন্যবাদ ভাই আপনাকেধন্যবাদ তৌসিফ ভাইসহ সবাইকেপরিচালক ইমরাউল রাফাত ভাইকে ধন্যবাদ,Positive
নাটকের দিক থেকে আমার মনে হয় বাংলাদেশ বিশ্বসেরা বাংলাদেশেও এরকম নাটক তৈরি হচ্ছে বড় ছেলে নাটকের পর পারিবারিক বিষয় আমার দেখা সেরা একটি নাটক এগিয়ে যাও বাংলাদেশ অজান্তে নিজের চোখে জল চলে আসছিল সত্যিই অসাধারণ একটি নাটক এটা 07  2023,Positive
অনেক দিন পর আবারো নাটক দেখে চোখের জল বের হইলো,Positive
বহু বছর ধরে নাটক দেখি আমার এই ছোট্ট জীবনে যতগুলো নাটক দেখেছি তার মধ্যে অন্যতম একটা অনেক ভালো লাগলো,Positive
বাংলা নাটক আছে বলেই তো হাজারো সংসার টিকে থাকে সংসারে অশান্তি দূর হয়  ভালোবাসা অবিরাম বাংলা নাটক ,Positive
বাস্তব চিত্র তুলে ধরার জন্য অনেক ধন্যবাদ পরিবারের ভালোবাসার উপর কোনো কিছু হয়না,Positive
এক তো বড় ছেলে তার উপর বাবা মারা গেছেন ছোট একটা ভাই ও আছে  কি বলবো এই নাটকের কথা পুরো নাটকের প্রথমে চোখের পানি এসেছে বাবাকে মিস করে তার পরের কান্না গুলো আসছে একজন বড় ভাইয়ের কষ্ট পাওয়া গুলো  পুরো নাটকটাতে ই চোখের পানি এসেছে বেশি কিছু না আল্লার কাছে পরিবারের এমন খাড়াপ সময়টা কখনোই চাইনা কোনোই না,Positive
এটা একটা কালজয়ী নাটক আমি জীবনে কোন নাটক দেখে এত কান্না করি নাই আজ এ নাটকটা দেখে আমার চোখ দিয়ে অনর্গল পানি পরছে,Positive
তৌসিফ মাহবুব অভিনয়টা অসাধারণ শেষের কাহিনীটা দেখে কান্না করে দিছে,Positive
না চাইতেও কখন যে কেদে ফেলছিপুরো ডুবে গিয়েছিলামবড় ভাই সে অন্য এক শান্তি,Positive
অনেক দিন পরে একটা সুন্দর নাটক দেখালামআসলে এমন নাটক প্রয়োজন ,Positive
সত্যি বলতে এই সময় এমন নাটকে হতে পারে ধারণা করাই কঠিন হয়ে  সত্যি নাটকটা থেকে অনেক কিছুর শিখার আছে,Positive
নাটক দেখে চোখের জল আটকাতে পারলাম না বড় ভাইয়েরা এমনি হয় যদিও আমার বড় ভাই নেই  তারপরেও পৃথিবীর সকল বড় ভাইদের জন্য ভালোবাসা রইল,Positive
এই নাটক টি ভাই কলিজায় লাগছে চোখে জল চলে এসেছে,Positive
এই প্রথম কোনো নাটক দেখে প্রচুর কান্না করলাম,Positive
নাটক দেখে নিজের অজান্তেই চোখ দিয়ে পানি চলে আসছে,Positive
মনের মত একটা নাটক অসাধারণ ছিল বাস্তব জীবনের কাহিনী,Positive
সত্যিই নাটকটা অসাধারণ অনেকগুলো পরিবারের বাস্তব রূপ,Positive
পুরো পৃথিবীতে  একজন তুই কিন্তু পরিবারে কাছে পুরো একটা পৃথিবী সত্যি নাটকটা অনেক সুন্দর,Positive
বলার ভাষা নাই  অসম্ভব বাস্তবমূখী নাটক ধন্যবাদ সকলকে ,Positive
বিদেশে যাওয়ার আগে ছোট ভাইর সাথে বড় ভাইয়ের কথা গুলো অসাধারণ মূহুর্ত ছিল অসাধারণ নাটক,Positive
নাটকের ২য় পাঠ চাই  তাও খুব তাড়াতাড়ি,Positive
এই মায়া এমন মায়া কাছের মানুষের ছায়া  অনেক সুন্দর উপস্থাপনা নাটকের শেষ অংশে কখন যে চোখের এক কোণায় জল নেমে আসলো বুঝিও নাই,Positive
এই নাটকটি খুবই শিক্ষনীয় শেষটা দেখে চোখে পানি চলে আসে,Positive
নাটক টা দেখে অজান্তেই চোখে পানি চলে আসছে  পরিবারের বড় ভাই এমনই হয় যাকে কি না নানানভাবে ভুলে বুঝে থাকিঅথচ বাবার পরেই বড় ভাইর স্থান সবার উপরে,Positive
এমন কেও নেই যে এই নাটক টা দেখার পর    কান্না না করে থাকতে পারবে,Positive
নাটকটা এতো সুন্দর  চোখের পানি ধরে রাখতে পারিনি,Positive
বাস্তবমুখী নাটক চোখে জল চলে আসলো,Positive
কান্না নিয়ে নাটকটি দেখলাম অসাধারণ এগুলা কাজল ফিমেল অমিদের দেখা উচিৎ  আমার কাছে যদি কোন অপশন থাকতো তাহলে আমি এই পরিচালক ও অভিনেতাদের পুরস্কৃত করতাম,Positive
অসম্ভব  সুন্দর নাটোক  মনের অজান্তেই চোখে জল চলে আসলো ,Positive
বড় ছেলে নাটক দেখে কেঁদেছিলাম আর আজকে খুব বেশি কাঁদলাম খুব ভালো লাগলো নাটক টা,Positive
বাস্তবমুখী নাটক,Positive
বাংলাদেশের নাটক সত্যিই প্রসংসনীয় ,Positive
অসাধারণ সৃষ্টি ভাইয়া এমন শিক্ষণীয় নাটক আমাদের সমাজের জন্যে অনেক প্রয়োজন ,Positive
নাটকের শেষটুকু দেখে সত্যিই চোখে জল এলো,Positive
এই ঈদের সবচেয়ে সেরা এবং সময়উপযোগী একটা কাহিনী নিয়ে নির্মিত অসাধারণ,Positive
পরিবারের বড় ছেলের দায়িত্ব অনেক কঠিন ধন্যবাদ নাটকের পরিচালককে,Positive
সত্যি নাটকটা  অসাধারণ চোঁখের পানি ধরে রাখতে পারলাম না অনেক দিন পর নাটক দেখে কান্না করলাম,Positive
নাটকটি দেখে চোখে পানি চলে আসলো অনেক ধন্যবাদ এত সুন্দর একটা নাটক উপহার দেওয়ার জন্য,Positive
আসলে সত্যি নাটক টা অনেক সুন্দর হয়েছে,Positive
নাটকটি দেখতে দেখতে নিজের অজান্তেই চোখে জল চলে এল,Positive
অপুর্ব ভাই যখন তৌছিফ ভাইকে বললো ভালো থাকিস রে ভাই  এত মায়া ছিলো যে কথা বলার ভিতর সত্যি চোখে জল ধরে রাখতে পারলাম না  ৷ আর নাটক টা এক কথায় অসাধারণ সব চরিত্র গুলো একেবারে জীবন্ত ৷ নাটকের পরিচালক কে অনেক ধন্যবাদ এমন একটা নাটক উপহার দেওয়ার জন্য,Positive
ভাই খুবই ভালো অভিনয় হয়ছেঅনেক  কান্না করছি শুরু থেকে শেষ পর্যন্ত কমেন্ট না করা পর্যন্ত নিজেকে শান্তনা দিতে পারছিলাম না তা ছাড়া এই নাটকে অনেক শিক্ষনীয় বিষয় আছে যা মানুষের মনে বেশি বেশি ভালোবাসা জাগরণ ঘটিয়েছেধন্যবাদ তাদেরকে যারা এই নাটকের সাথে মিশে ছিলেন,Positive
সত্যি অসাধারণ একটা নাটক চোখটা পুরাই টলমল হইয়া গেছে,Positive
সত্যি নাটক টা দেখে চোখে পানি আটকে রাখতে পারিনি শেষ টা খুব সুন্দর ছিলোএমন নাটক আরো দেখতে চাই,Positive
নাটকটি এত সুন্দর যে চোখে পানি এসে পরেছে এই নাটকটি খুবই শিক্ষনীয় এই নাটকটি আমার খুব ভালোলাগে,Positive
পুরো পৃথিবীর কাছে তুই একজন কিন্তু একটি পরিবারের কাছে তুইই একটা পৃথিবী উক্তিটি ছোট হলেও এর গুরুত্ব গভীরতা অসীম বর্তমান প্রেক্ষাপটের ভিত্তিতে এটি একটি বাস্তব মুখী এবং সময়োপযোগী নাটক নাটকের শেষের অংশ চমৎকার এবং বুঝা যায় পরিবারে নিজেদের মধ্যে একতা থাকলে পরিবারের শক্তি বৃদ্ধি পায় পরিভার শক্ত মজবুত হয় নাটক এর মাধ্যমে এমন বাস্তব চিত্র সুন্দর ভাবে আমাদের কে উপহার দেওয়ায় পরিচালক কে ধন্যবাদ না দিলেই নয়,Positive
নাটক সিনেমায় ছোট ভাইবোনেরা শেষে অনুতপ্ত হয় কিন্তু বাস্তব জীবনে হয় নাএখানেই বাস্তবতা আর নাটকের মধ্যে পার্থক্য,Positive
বাস্তবতার সাথে একদম মিল এখন সবার পরিবার এমন জামেলা লেগেই থাকে নাটক টা দেখে অনেক কিছু শখতে পারলাম,Positive
কি নাটক দেখলাম রে ভাই কানতে কানতে শেষ যখন কান্না আসলো নাটক স্টপ করে কান্না করি আবার চোখের জল মুছে আবার নাটক ওপেন করে দেখি সত্যি বাংলাদেশের নাটক অসাধারণ ইতালি থেকে দেখলাম পরিবারের দুর্ভাগা একজন বড় ছেলে,Positive
বাস্তবতার সাক্ষি আমরা আমার পরিবার এই নাটকটা আমাদের জীবন টাকেই নিয়ে আমাদের বর্তমান পরিস্থিতি এই নাটকটারি মতন  মা টা যেনো নাটকের মার চরিত্রে মহিলাটারি মতন বড় ভাই টা আমার বড় ভাই এরি মতন আর আমার চরিত্র তি তৌসিফ এর মতন,Positive
সুন্দর ছিল নাটকটা চোখের জল ধরে রাখতে পারলাম না,Positive
অনেক কান্না করার মত নাটক দেখেছি কিন্তু কখন চোখে পানি আসেনাই আজই প্রথম চোখে অটো পানি চলে আসছে বুঝতেই পারিনাই,Positive
জীবনে এই প্রথম কোনো নাটক দেখে চোখের পানি আটকাতে পারলামনা  একদম বাস্তবতা দিয়ে তৈরি করা একটি নাটক মন ছুঁয়ে যাওয়া একটি নাটক এককথায় সত্যি অসাধারণ লেগেছে অসংখ্য ধন্যবাদ এই নাটকের পরিচালককে,Positive
নাটক টা দেখে কান্না করতে করতে নিঃস্বাস বন্ধ হয়ে যাচ্ছিলো,Positive
অবশ্যই শিক্ষনীয় একটি নাটক ছিল,Positive
এখন ভোর  ৫ টায় ১৬ মিনিট  নাটক  টা সেস করলাম চোখে পানি চলে আসলো  সেশ এর পাট টা কস্ট পাইলাম আমার  যদি বড় ভাই থাকতো,Positive
এমন অশ্লীলতার যুগে প্রেমভালোবাসা ওয়েস্টার্ন পোশাক অশ্লীলতা ও গালাগালি ছাড়াও বাস্তবধর্মী অসম্ভব সুন্দর একটা নাটক উপহার দেয়া সম্ভব  নাটকের পরিচালক ও সকল কলাকুশলীদের ধন্যবাদ ,Positive
এই প্রথম নাটক দেখে চোখে কান্না আসলো,Positive
সত্যি কথা বলতে এখনও চোখে পানি আছে চোখে পানি তাও কমেন্ট করতাছি নাটক টা খুব মনে লাগলো,Positive
কিসের নিশো কিসের সিয়াম অপূর্বই সেরা,Positive
নিঃসন্দেহে বছরের সেরা নাটক সবাই ভালো অভিনয় করছে নাটকের মধ্যে হারিয়ে গেছিলাম,Positive
চোখের পানি ধরে রাগতে পারলাম না ভাই সেরা একটা নাটক ছিলো,Positive
জীবনের সেরা একটা নাটক দেখলাম আমার এমনই একটা বড় ভাই আছে যে সব সময় আমাকে এভাবে আগলে রাখে   ,Positive
বড় ছেলে প্রিয় পড়িবার তারপর  কাছের মানুষ এক একটা নাটক না যেন বাস্তবতা  প্রতি টা নাটকেই মনের অজান্তেই চোখে পানি চলে আসে   এখন ও যে বাংলাদেশের নাটক আছে এটাই তার প্রমাণ  কি নিখুঁত অভিনয়,Positive
সত্যি অসাধারণ একটা নাটক  দেখে চোখে পানি চলে আসলে ,Positive
অসাধারন অভিনয়  চোখের পানিচলে আসে ভাইয়ের ভালোবাসা  নাটক কাছের মানুষ,Positive
এটা তো নাটক দেখছিলাম না মনে হয় বাস্তবভিত্তিক ঘটনা দেখছিলাম তাই বুঝে নেন কতটুকু বাস্তববাদি হলে চোখের পানি চলে আসে  অপূর্ব দারুন অভিনয় করছে,Positive
জিবনে অনেক নাটকটেলিফিল্ম দেখেছি বাট এরকম প্রেম ভালোবাসা ছারা ফ্যামিলি  নিয়ে যে এত সুন্দর নাটক প্রথম বার দেখলামঅনেক সুন্দর বিশেষ করে শেষের সিন টায় চোখের পানি আসার মতোঅসম্ভব সুন্দর একটা গল্প,Positive
নাটকের সব কথা গুলা বাস্তব মুখি,Positive
আমি ও আমার পরিবার এর বড় ছেলে আর প্রতিটা পরিবার এর বড় ছেলের উপর দূঃখ অনেক অনেক ভালো লাগলো নাটকটা চোখ দিয়ে পানি এমনি ই চলে আসে বুজিনা,Positive
এই নাটক দেখে চোখে পানি চলে আসছে আমার আমার ভাইয়া কে খুব মিস করতেছি ভাইয়ার কথা মনে করে কান্নাও করছি সেই ছোটবেলার কথা মনে পরে গেলো,Positive
সত্যিই অনেক সুন্দর একটা নাটক নাটকটি দেখে মনের অজান্তে চোখের কোনে পানি চলে আসলো,Positive
সত্যি সম্পর্কের কোন পরিবর্তন হয় না,Positive
মানুষের জীবনের গল্প গুলো তুলে দরলে মনে একটু শান্তি লাগে,Positive
আসলেই নাটক  এরকমই হওয়া উচিত যা থেকে পরিবার সমাজ ও দেশ কিছু শিখতে পারেতাই প্রতিটি পরিচালকের উচিত অশালীন নাটক বাদ দিয়ে এরকম সুন্দর নাটক উপস্থাপন করা,Positive
আমি বেশ একটা ইমোশনাল হইনা কিন্তু এই নাটক দেখে অনেক ইমোশনাল হয়ে গেছি,Positive
সেইই বড় ছেলে নাটক দেখে চোখে পানি আসছিলোআর আজকে কাছের মানুষ দেখে যদি ও পরিবারে বড় ছেলেদের অনেক কিছু ই ত্যাগ দিতে হই  আবার এমন ও আছে যে জায়গা জমি সংক্রান্ত বিরোধ এ সম্পর্ক ফাটল ধরে,Positive
আমার আবেগ কম তার পরেও কান্না চলে আসলো  অনেক সুন্দর হইছে,Positive
অপুর্ব মানেই অসাধারণ কিছুএটাই জানিনাটকটায় তারি প্রমাণ হলোঅপুর্ব মানেই হিট খু ভালো লাগছে অন্তর ঝুড়ানো স্টোরি ছিলো,Positive
বাস্তবের সাথে পুরো পুরি মিল রেখে নাটক টা তৈরি করা হয়েছেপুরো নাটকটা দেখে অনেক আবেগ আপ্লুত হয়ে গেলামকোনো জানি অঝোরেই চোখের কোনে দিয়ে পানি পড়ে গেলে ধন্যবাদ এমন বাস্তব সম্মত নাটক আমাদের উপহার দেয়ার জন্য,Positive
দারুণ একটা নাটক ছিল কাকে বলে পরিবারের দ্বায়িত্ব নেয়া কখন যে অগচরে চোখের পানি চলে আসছে,Positive
পরিবার নিয়ে দেখার মতো নাটক অনেক ভালো গল্পটি অনেক ভালো পাশাপাশি অভিনয়গুলোও  চোখে পানি চলে আসলো,Positive
সত্যি নাটক টা দেখে চোখের কোণায় পানি চলে আসছে,Positive
এই ইদের সেরা নাটক তৌসিফ যখন  অপূর্ব র হাত ধরে ফেললো তখন অটোমেটিক চোখে পানি চলে আসছে সেরা নাটক ভাই,Positive
নাটকটা দেখে বুঝতে পারলাম পরিবারের ছোট ছেলে আমি খুব খারাপ ব্যবহার করে পেলেচি কিছু কিছু সময় গিলটি ফিল হচ্ছে,Positive
কাচের মানুষ ২  আসার জন্য অপেক্ষা রইলাম  যত কিছু হোক  কাচের মানুষ ২ চাই,Positive
নাটকটি অনেক সুন্দর  মনও মুগ্ধকর  শিক্ষণীয় বিষয় প্রতিফলিত,Positive
অসাধারণ পরিবার কি পরিবার এর মানে কি আসলে মনের ব্যাক্ত প্রকাশ করার ভাষা হারিয়ে পেলেছি ধন্যাবাদ এত সুন্দর একটা নাটক উপহার দেবার জন্য,Positive
নিজেকে কনট্রোল করতে পারিনি নাটকটি দেখে এটাই হয়তো বড়ছেলের দ্বিতীয় পর্ব আর পরিবারের বড় ছেলে হয়ে বলছি পুরোটাই জীবনের সাথে মিলে গেছে,Positive
এমন ভাই যেন আল্লাহ সবার কপালে দেন যে ভুল গুলো ক্ষমা করে ভালোবাসতে জানে সত্যি হৃদয় ছুঁয়ে যাওয়ার মত একটা কাহিনী              ,Positive
চোখে জল এসে গেলঅসম্ভব সুন্দর একটা কাহিনী,Positive
আমরা বড় ছেলে আমাদের অনেক কিছু ত্যাগ দিয়ে পরিবার কে সুখে রাখতে হবে সবার মুখে হাসি ফুটাইতে হবে আর পরিবারের বড় ছেলেরাই বুজে দুনিয়া কতটা কঠিন,Positive
সত্যিই চোখের জল ধরে রাখতে পারি নাই বড় ভাই এবং একটা ফ্যামিলির তাৎপর্য অপরিসীম,Positive
জীবনে ২ বার কোনো নাটক দেখে কেদেছি সেটা অপূর্বর নাটক ১ বড় ছেলে ২ কাছের মানুষ,Positive
নাটক টা দেখে চোখে চল চলে আইছে,Positive
সত্যি ভাই চোখে পানি ধরে রাখতে পারি নি শেষের ৫২ মিনিট থেকে শেষ পর্যন্ত,Positive
নাটক টা দেখার সময় শুধু চোখের পানি বাহির হইছে অসাধারণ একটি নাটক,Positive
এই নাটকটি দেখে একজন প্রবাসি হিসেবে কষ্টটা ভিতরে আঘাত করছে তাইতো নিজের অজান্তেই চোখোর পানি গুলো গাল বেয়ে বেয়ে পড়লোআমরা প্রবাসিরা নিজের সবটুকু দিয়ে চেষ্টা করি যেনো পরিবারের সব মানুষগুলোকে ভালো রাখার জন্য,Positive
অসাধারণ একটি নাটক চোখের পানি ধরে রাখতে পারলাম না আল্লাহ আমাদের সকল পরিবার কে এক সংঙ্গে থাকার তৌফিক দান করুন আমীন,Positive
পরিবারের মানুষদের ভালোবাসার কোনো তুলনা হয় না,Positive
আসলেই নাটক টা অনেক সুন্দর আসলে নাটক টা দেখে চোখে পানি চলে আসছিল,Positive
এটা আসলে নাটক না একটি ফ্যামিলির মধ্যে ঘটে যাওয়া বাস্তব ঘটনা অসাধারণ কাহিনী ছিল ধন্যবাদ জানাই যিনি লিখেছেন তাকে এবং যিনি নাটকটা তৈরি করেছেন তাকেও অভিনেতা অভিনেত্রী সবাইকে ধন্যবাদ জানাই অসাধারণ ছিল,Positive
নাটক টা দেখে চোখে পানি চলে এসেছে  নাটকের পরিচালক কে অসংখ্য ধন্যবাদ   এমন একটা নাটক দর্শক কে দেখার,Positive
বড় ছেলের পর বাংলার ইতিহাসে আরেকটা ইতিহাস সৃষ্টি করার মত চমৎকার একটা টেলিফিল্ম,Positive
এমনিতে অনেক নাটক দেখি কিন্তু কমেন্ট করা হয় নাই কোনো দিন কিন্তু আজকের নাটক টা দেখি চোখ থেকে আপনা আপনি পানি পড়ে গেছে সত্যি বাহবা পাবার মতো একটা নাটক,Positive
অনেকদিন পর একটা ভালো নাটক দেখলাম কান্না করে দিলাম নিজের অজান্তেই,Positive
নাটকটা দেখা পর  চোখ থেকে পানি বের হয়ে গেল,Positive
অপূর্ব ভাই বরাবরই তার অভিনয় দিয়ে আমাদের মুগ্ধ করে দেয় বাংলা নাটকের সবচেয়ে ভালো অভিনেতা অপূর্ব,Positive
নাটক আমার জীবনের সেরা সেরা নাটক  আমি পরিবারের বড় ছেলে হয়ে বুঝি,Positive
এই ঈদের সেরা একটা নাটক যারা দেখতেছেন একটা লাইক দিয়ে জানাই দিয়েন,Positive
অনেক অনেক সুন্দর একটি নাটকের জন্য  এই নাটকের সাথে যারা কাজ করেছেন সকলকে অনেক ধন্যবাদ এবং আমি বিশেষ করে ধন্যবাদ জানাচ্ছি নাটকের পরিচালককে সকলের জন্য শুভকামনা রইল ধন্যবাদ,Positive
পরিবার  কিছু বলার ভাষা হারিয়ে ফেলেছি নাটক টা দেখতে দেখতে নিজের পরিবারের সঙ্গে গুলিয়ে ফেলেছি কোন ভাবেই মনে হলোনা এইটা একটা নাটক দেখতে দেখতে কখন যে চোখের কোনায় পানি চলে এসেছে বুঝতেই পারিনি  মনের গহিন থেকে ভালোবাসা ও শ্রদ্ধা রইল @ ,Positive
সেদিন বড় ছেলে নাটক দেখে অঝোরে কেদেঁছিলাম আজ কাছের মানুষ দেখে তারও দ্বিগুন কান্না করেছি ইচ্ছে করে না ভাই নাটকের চরিত্র গুলো সত্যিই অসাধারণ সত্যিই মনের গহীনে গেথে যাওয়া বাস্তবতা,Positive
আজ অনেক দিন পরে খুব ভালো একটি নাটক দেখলাম যা দেখে চোখে পানি চলে আসল,Positive
পরিবার তখনই শান্তিতে থাকে যখন পরিবারে অতিরিক্ত মানুষ কম থাকে অথবা থাকেই নাহ আমি নিশ্চয়তা দিয়ে বলতে পারি এই গল্পে যদি দুই ভাইয়ের কোনো একজনের বউ থাকতো তাহলে এরকম সুন্দর উপসংহার কখনোই হতো নাহ,Positive
এই নাটক দেখে চোখে পানি আসবেনা এমন লোক পাওয়া যাবেনা,Positive
ভাই রে ভাই এত সুন্দর একটা নাটক  কখন যে চোখে জল এসে পড়ছে বলতেই পারি না এই ঈদে এটাই সেরা নাটক,Positive
সত্যি নিজের অজান্তেই চোখের পানি আর ধরে রাখতে পারলাম নাঅনেক কান্না করলাম  আমার ছোট ভাই টা ও এখন অবুঝ এমন পাগলামি করেআল্লাহ তুমি ওকে সহি বুঝ দান  করো (আমিন),Positive
হৃদয় ছুয়ে গেলো নাটক দেখে,Positive
চোখের পানি ধরে রাখতে পারলাম না কখনো কমেন্ট করিনা নাটকটা দেখে নাটক মনে হয় নি মনে হচ্ছিল আমার পরিবারের ঘটনাচোখে পানি নিয়ে কমেন্টটা করে গেলাম,Positive
নাটকটির শেষটা খুবই ভাল চোখে পানি চলে এলো,Positive
না চাইতেই চোখের কোনে পানি চলে আসলো যাদের বড় ভাই আছে তারা জেন তাদের বড় ভাই থাকতে কখনো জেন মুল্য হিন না ভাবে বড় ভাই পাসে থাকলে মনে হবে বাবার ছায়া এখনো বেচো আছে,Positive
চোখে পানি চলে আসছে  শিক্ষানীয় নাটক এটা ধন্যবাদ,Positive
নাটক টা অস্বাভাবিক সুন্দর নিজের অজান্তেই চোখে জল,Positive
